Title,Artist,Harmony
"""A Sky Full of Stars""",Coldplay,"[1, 1, 3, 3, 7, 1, 1, 3, 3, 7, 1, 3, 3, 7, 1, 3, 3, 7, 1, 3, 3, 7, 1, 3, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 3, 3, 7, 1, 6, 3, 7, 1, 1, 6, 3, 7, 1, 1, 6, 3, 7, 1, 1, 6, 3, 7, 1, 1, 6, 3, 7, 1, 3, 3, 7, 1, 3, 3, 7, 1, 3, 3, 7, 1, 3, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 3, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1]"
"""Don't""",Ed Sheeran,"[1, 6, 4, 5, 1, 6, 4, 5, 1, 1, 6, 4, 5, 1, 1, 1, 6, 4, 5, 1, 1, 1, 6, 4, 5, 1, 1, 6, 4, 5, 1, 1, 6, 4, 5, 1, 1, 1, 6, 4, 5, 1, 1, 1, 6, 4, 5, 1, 1, 1, 1, 1, 1, 1, 6, 4, 5, 1, 1, 1, 6, 4, 5, 1]"
"""Na Na""",Trey Songz,"[1, 4, 0, 0, 5, 1, 1, 4, 0, 0, 5, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4]"
"""Hot Boy""",Bobby Shmurda,not found
"""Hold On, We're Going Home""",Drake featuring Majid Jordan,"[1, 0, 1, 5, 4, 1, 0, 1, 5, 4, 1, 0, 1, 5, 4, 1, 0, 1, 5, 4, 1, 0, 1, 5, 4, 1, 0, 1, 5, 4, 1, 0, 1, 5, 4, 1, 0, 1, 5, 4, 1, 0, 1, 5, 4]"
"""Sing""",Ed Sheeran,"[1, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4]"
"""Radioactive""",Imagine Dragons,"[1, 2, 4, 1, 1, 2, 4, 1, 5, 2, 4, 1, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
"""My Hitta""",YG featuring Jeezy and Rich Homie Quan,not found
"""Cool Kids""",Echosmith,"[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 7]"
"""Hey Brother""",Avicii,"[1, 6, 3, 7, 1, 1, 6, 3, 7, 1, 7, 3, 6, 7, 7, 3, 6, 1, 1, 6, 3, 7, 1, 1, 6, 3, 7, 1, 7, 3, 6, 7, 7, 3, 6, 1, 1, 6, 3, 3, 1, 1, 6, 3, 3, 7, 7, 3, 6, 7, 7, 3, 6, 1, 1, 6, 7, 1, 3, 7, 1, 6, 3, 7, 1, 1, 6, 3, 7, 1, 7, 3, 6, 7, 7, 3, 6, 1, 1, 6, 3, 3, 1, 1, 6, 3, 3, 7, 7, 3, 6, 7, 3, 6, 1, 1, 6, 7, 1, 3, 7]"
"""Trumpets""",Jason Derulo,"[1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 5, 1, 1, 4, 6, 5, 5, 1, 1, 4, 6, 5, 5, 1, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 5, 1, 1, 4, 6, 5, 5, 1, 1, 4, 6, 5, 5, 1, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6]"
"""Animals""",Maroon 5,not found
"""Burnin' It Down""",Jason Aldean,not found
"""Play It Again""",Luke Bryan,"[1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 7, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2, 1, 5, 2, 3, 2, 1, 5, 2]"
"""2 On""",Tinashe featuring ScHoolboy Q,"[1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1]"
"""Dirt""",Florida Georgia Line,not found
"""Love Runs Out""",OneRepublic,"[1, 1, 1, 4, 1, 5, 1, 1, 1, 4, 1, 5, 1, 1, 1, 4, 1, 5, 1, 1, 1, 4, 1, 5, 1, 1, 1, 4, 1, 5, 1, 1, 7, 4, 6, 1, 7, 4, 6, 5, 7, 1, 1, 1, 1, 1, 1, 4, 1, 5, 1, 1, 1, 4, 1, 5, 1, 1]"
"""Bottoms Up""",Brantley Gilbert,"[1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6]"
"""Shower""",Becky G,"[1, 5, 3, 2, 5, 2, 5, 2, 5, 2, 5, 6, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 3, 3, 2, 5, 6, 5, 6, 5, 3, 7, 5, 6, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 3, 3, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 3, 3]"
"""Me and My Broken Heart""",Rixton,"[1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 1, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 1, 1, 3, 5, 1, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1, 1, 4, 7, 3, 5, 1, 4, 7, 3, 5, 1]"
"""Animals""",Martin Garrix,not found
"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan,not found
"""American Kids""",Kenny Chesney,"[1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 1, 6, 1, 6, 1, 6, 1, 3, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 1, 3, 6, 7, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 1, 6, 1, 6, 1, 6, 1, 3, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 1, 6, 1, 6, 1, 6, 1, 3]"
"""Brave""",Sara Bareilles,"[1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 6, 1, 4, 4, 6, 1, 4, 5, 1, 6, 4, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 6, 4, 5, 1, 4, 6, 5]"
"""Sweater Weather""",The Neighbourhood,"[1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 2, 6, 5, 2, 6, 5, 2, 6, 5, 2, 6, 5, 2, 6, 5, 2, 6, 5, 2, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1, 6, 3, 5, 1]"
"""Leave the Night On""",Sam Hunt,not found
"""New Flame""",Chris Brown featuring Usher and Rick Ross,"[1, 1, 6, 5, 1, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 1, 6, 5]"
"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake,"[1, 2, 3, 4, 1, 5, 0, 1, 6, 1, 1, 5, 0, 1, 6, 1, 0, 3, 3, 6, 1, 0, 1, 5, 1, 5, 6, 6, 1, 5, 0, 1, 6, 1, 1, 5, 0, 1, 6, 1, 0, 3, 3, 6, 1, 0, 1, 5, 1, 5, 6, 6, 0, 3, 3, 6, 1, 0, 1, 5, 1, 5, 6, 6, 1, 2, 3, 4, 1, 5, 1, 5, 6, 6]"
"""Drunk on a Plane""",Dierks Bentley,"[1, 4, 1, 4, 1, 4, 1, 4, 6, 5, 4, 5, 1, 4, 1, 4, 6, 5, 4, 5, 1, 4, 6, 4, 1, 4, 6, 4, 1, 6, 4, 5, 1, 6, 4, 1, 4, 1, 4, 1, 4, 1, 4, 6, 5, 4, 5, 1, 4, 6, 4, 1, 4, 6, 4, 1, 6, 4, 5, 1, 6, 4, 5, 6, 4, 1, 5, 5, 1, 4, 1, 4, 6, 5, 4, 5, 1, 4, 6, 4, 1, 4, 6, 4, 1, 6, 4, 5, 1, 6, 4, 5, 4, 1, 4, 1, 4, 1, 4, 1]"
"""Birthday""",Katy Perry,"[1, 6, 1, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 6, 1, 6, 5, 1, 6, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 6, 6, 6, 6, 6, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5, 1, 6, 5, 1, 5, 6, 5]"
"""Bartender""",Lady Antebellum,"[1, 6, 7, 6, 3, 7, 7, 6, 3, 7, 1, 7, 6, 1, 6, 7, 1, 6, 3, 7, 7, 3, 6, 3, 7, 7, 6, 1, 7, 1, 1, 6, 3, 7, 6, 3, 7, 7, 6, 3, 7, 1, 7, 6, 1, 6, 7, 1]"
"""La La La""",Naughty Boy featuring Sam Smith,not found
"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,"[1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4]"
"""Do What U Want""",Lady Gaga featuring R. Kelly,not found
"""Can't Remember to Forget You""",Shakira featuring Rihanna,"[1, 4, 7, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 1, 7, 4, 6, 5, 1, 7, 6, 3, 2, 1, 7, 4, 6, 5, 1, 7, 6, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 1, 7, 4, 6, 5, 1, 7, 6, 3, 2, 1, 7, 4, 6, 5, 1, 7, 6, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 7, 4, 6, 5, 1, 7, 4, 6, 5, 1, 7, 4, 6, 5, 1, 7, 4]"
"""Amnesia""",5 Seconds of Summer,"[1, 4, 1, 4, 1, 4, 1, 4, 6, 4, 1, 4, 1, 4, 6, 4, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 4, 1, 4, 1, 4, 6, 4, 1, 4, 1, 4, 6, 4, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 5, 6, 4, 1, 5, 6, 4, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4, 1, 4, 1, 4, 1, 4, 1]"
"""No Mediocre""",T.I. featuring Iggy Azalea,not found
"""Come with Me Now""",KONGOS,"[1, 4, 1, 3, 1, 3, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 3, 1, 7, 4, 5, 1, 7, 6, 5, 1, 7, 4, 5, 1, 7, 6, 5, 1, 4, 1, 4, 1, 4, 1, 4, 1, 3, 4, 5, 1, 3, 6, 5, 1, 3, 4, 5, 1, 3, 6, 5, 4, 3, 6, 5, 4, 3, 6, 5, 4, 3, 6, 5, 4, 3, 6, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 3, 1, 7, 4, 5, 1, 7, 6, 5, 1, 7, 4, 5, 1, 7, 6, 5, 1, 4, 1, 4, 1, 4, 1]"
"""Believe Me""",Lil Wayne featuring Drake,not found
"""23""","Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J",not found
"""Beachin'""",Jake Owen,"[1, 1, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4, 2, 4, 1, 1, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4, 2, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 4, 1, 4, 2, 4, 1, 4, 1, 4]"
"""White Walls""",Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,"[1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4]"
"""She Looks So Perfect""",5 Seconds of Summer,not found
"""Stay the Night""",Zedd featuring Hayley Williams,not found
"""Partition""",Beyoncé,not found
"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid,not found
"""0 to 100 / The Catch Up""",Drake,not found
"""I Don't Dance""",Lee Brice,"[1, 1, 4, 5, 1, 1, 4, 5, 1, 5, 6, 1, 5, 6, 1, 5, 1, 1, 1, 4, 5, 1, 1, 4, 5, 1, 5, 6, 1, 5, 6, 1, 5, 1, 1, 5, 6, 1, 5, 6, 1, 5, 6, 1, 5, 6, 1, 5, 1, 1]"
"""Somethin' Bad""",Miranda Lambert and Carrie Underwood,not found
"""Adore You""",Miley Cyrus,"[1, 4, 6, 1, 4, 6, 1, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 4, 4, 2, 1, 4, 2, 1, 4, 2, 1, 4, 2, 1, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1, 4, 6, 1]"
