№,Title,Artist,Lyrics_URL,Lyrics
71,"""Promise""",Ciara,https://genius.com/Ciara-promise-lyrics,come enjoy life baby take ride wan na find baby good time tell like ooh ooh listen single kinda lonely lookin somebody talk love someone hold looking somebody call boo looking one give tell wan na make move teacher homework give extra credit baby work wan na move mood right feel right prince knight superman save 'cause baby nothing wo spend life give promise never lie boy nothing wo spend life give promise never lie boy oh together picture perfect spend money time worth wan na make move call mama spoil like baby thinking 'bout dreaming 'bout got going crazy wan na mood eh mood right feel right prince knight woah-ooh superman save baby nothing wo spend life give promise never lie boy nothing wo spend life give promise never lie boy mean everything say bottom heart never never ever hurt open heart open heart give tell whole world love whatever want baby know want nobody else nothing wo spend life give promise never lie nothing wo spend life give promise never lie boy one waitin waitin waitin homie waitin waitin waitin baby come hold waitin waitin waitin lookin one one
72,"""Bed""",J. Holiday,https://genius.com/J-holiday-bed-lyrics,j. holiday oo-oh oo-oh put bed bed bed put bed bed bed girl change victoria secret thing like alright okay tonight way perfume spray put love air put right next finna raise temp room first rub back like right right touch like care stop let repay week workin nine five stayin cute like oh oh oh love love everytime touchin want want see mornin wan na put finger hair wrap leg love till eye roll back tryna put bed bed bed i'mma put bed bed bed i'mma rock ya body turn love war soldier touchin like first time i'mma put bed bed bed i'mma put bed bed bed starin sleep irreplaceable beauty put face neck breathe take sens wake time finish round two round two matter fact closer three like long sleep shawty kiss turn sweetest dream like give feel tell angel wonderful thanks letting bless ya come fly right drift back heaven oh oh oh oh love love everytime touchin want want see mornin wan na put finger hair wrap leg love till eye roll back tryna put bed bed bed i'mma put bed bed bed i'mma rock ya body turn love war soldier touchin like first time i'mma put bed bed bed i'mma put bed bed bed watch sunlight peak horizon ooh-ooh ooh-ooh ooh-ooh ooh-ooh sun thing shinin ooh-ooh ooh-ooh ooh-ooh ooh-ooh i'mma send world love tell everybody ay everybody ay ay-ay-ay ay ay-ay-ay ay ay-ay-ay ay wan na put finger hair wrap leg love till eye roll back tryna put bed bed bed i'mma put bed bed bed i'mma rock ya body turn love war soldier touchin like first time i'mma put bed bed bed i'mma put bed bed bed watch sunlight peak horizon ooh-ooh ooh-ooh ooh-ooh ooh-ooh sun thing shinin ooh-ooh ooh-ooh ooh-ooh ooh-ooh i'mma send world love tell everybody ay everybody ay ay-ay-ay ay ay-ay-ay ay ay-ay-ay ay
73,"""Throw Some D's""",Rich Boy featuring Polow da Don,https://genius.com/Rich-boy-throw-some-ds-lyrics,used think immature thing know like love want gon call like said would really real phone number gangsta house zone 4 get money new money hey rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac bought cadillac bought cadillac rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac bought cadillac bought cadillac rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac took chop shop got damn top dropped two colored flip flopped candy-red lollipop still got glock cocked new money motherfucker see big knot see big chain see big rim wonder hatin lately baby candy paint gator-skin seat call dundee pope hood one wan na hater wish could feel wood '83 riding tint motherfucker know rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac bought cadillac bought cadillac rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac bought cadillac bought cadillac never slip never fall lot hoe give number never call real o.g. look v.i.p see nigga ball hit club baby i'ma hit drawer yeah gon na break ... every freak picture dick ... polow shit zone 4 clique yeah dog yeah gangster hustler wankstas busters— rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac bought cadillac bought cadillac rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac bought cadillac bought cadillac hit block new ten thousand-dollar wheel ca explain feel touching gator wheel got peanut butter ice cream peter pan seat got fresh cut looking freak take bad yellow bitch make drop drawer i'ma show ball middle finger law fuck nigga wan na hating player 'cause 'lac skate 22 pull i'ma park right front pour lean cup got purp blunt real pimp bitch playin like trick bought new 'lac put thangs bitch rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac bought cadillac bought cadillac rich boy sellin crack fuck nigga wan na jack shit tight slack bought cadillac bought cadillac bought cadillac
74,"""Rehab""",Amy Winehouse,https://genius.com/Amy-winehouse-rehab-lyrics,tried make go rehab said yes black come back know know know got time daddy think fine tried make go rehab wo go go go rather home ray got seventy day 'cause nothing nothing teach ca learn mr. hathaway get lot class know come shot glass tried make go rehab said yes black come back know know know got time daddy think fine tried make go rehab wo go go go man said think said got idea gon na gon na lose baby always keep bottle near said think depressed yeah baby rest tried make go rehab said yes black come back know know know ever wan na drink ooh need friend gon na spend ten week everyone think mend pride till tear dried tried make go rehab said yes black come back know know know got time daddy think fine tried make go rehab wo go go go
75,"""Big Shit Poppin' (Do It)""",T.I.,https://genius.com/Ti-big-shit-poppin-do-it-lyrics,hey hey waitin it—what waitin 'cause i'ma 'cause i'ma waitin know know let hear say big shit poppin lil shit stoppin big shit poppin lil shit stoppin big shit poppin lil shit stoppin ball nigga bein broke option better better hey waitin 'cause i'ma 'cause i'ma hey waitin know know hey waitin better better let hear say big shit poppin lil shit stoppin big shit poppin lil shit stoppin big shit poppin lil shit stoppin ball nigga bein broke option maximum take askin listen sucker say irrational see said king lame started laughin sucker want king track 'em composed several classical know like top back dope boyz bring 'em know ask top know dominated '06 goin right back see reign hell showed like even denzel say damn know like nigga yeah still bankhead tell nothin changed name mail still kick door thangs air benihana see slang chair slang 'caine thing jail say need hundred square came scale let better better hey waitin 'cause i'ma 'cause i'ma hey waitin know know hey waitin better better let hear say big shit poppin lil shit stoppin big shit poppin lil shit stoppin big shit poppin lil shit stoppin ball nigga bein broke option like ball player see ball stack tall ball player stage air whether miami cincinnati riverdale arizona california make rain anywhere pullin pistol nigga think finna scare 20 round missile ya pissin underwear tote pair .40 cal better tone suggest prepare goin a-town west side club crucial catch right top big kuntry dro mack jackers lie say caught slippin could somethin like stalker e'rywhere strap trap jumpin hundred dollar slab want nigga could get hundred tab sell 'em double nigga math think wo pull somethin 200 dash better better hey waitin 'cause i'ma 'cause i'ma hey waitin know know hey waitin better better let hear say big shit poppin lil shit stoppin big shit poppin lil shit stoppin big shit poppin lil shit stoppin ball nigga bein broke option like wan na shit front real nigga vision pimpin seein none nigga phil daughter mama oldest son grandmama daughter youngest son mama go buy want know problem somethin bring drama day month two partner go make sure nigga stuntin chopper problem runnin block nobody stoppin pop cousin watchin nonstop see nigga copy made bottom top oughta good fresh matter know death hey i'ma better better hey waitin 'cause i'ma 'cause i'ma hey waitin know know hey waitin better better let hear say big shit poppin lil shit stoppin big shit poppin lil shit stoppin big shit poppin lil shit stoppin ball nigga bein broke option
76,"""No One""",Alicia Keys,https://genius.com/Alicia-keys-no-one-lyrics,want close stay forever sure get better together day night worry 'cause everything gon na alright people keep talking say like know everything gon na alright one one one get way feelin one one one get way feel get way feel rain pouring heart hurting always around know certain together day night worry 'cause everything gon na alright people keep talking say like know everything gon na alright one one one get way feelin one one one get way feel get way feel know people search world find something like know people try try divide something real 'til end time telling one one one get way feelin one one one get way feel oh-oh-oh-oh-oh oh-oh-oh-oh-oh oh-oh-oh-oh-oh oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh oh oh-oh-oh-oh-oh oh-oh-oh-oh-oh oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh oh
77,"""The Great Escape""",Boys Like Girls,https://genius.com/Boys-like-girls-the-great-escape-lyrics,paper bag plastic heart belonging shopping cart goodbye got one night let get drunk ride around make peace empty town make right throw away forget yesterday make great escape wo hear word say know u anyway watch burn let die 'cause finally free tonight tonight change life good side cry wo give fight scream loud top lung think 'cause young feel alive throw away forget yesterday make great escape wo hear word say know u anyway watch burn let die 'cause finally free tonight wasted time hour left behind answer never find mean thing tonight throw away forget yesterday make great escape wo hear word say know u anyway throw away forget yesterday make great escape wo hear word say know u anyway throw away forget yesterday make great escape wo hear word say know u anyway watch burn let die 'cause finally free tonight
78,"""2 Step""",Unk,https://genius.com/Unk-2-step-lyrics,two step two step gon n two step gon n two step gon n two step gon n two step get jiggy wit get jiggy wit get jiggy wit get jiggy wit gon n two step aye watch two step two step like two step watch get jiggy wit watch get jiggy wit watch get jiggy wit watch get jiggy wit gon n two step hit club fresh stunna shade 2 steppin gettin jiggy wit j get yo step wroooong try bite mine 2 steppin yea back unk one mo time see gon form liiiine gon step right step left girl know dynomite good tiiiiimes see got right beat wrist ice colder bud light i'ma take tiiiiime gangstaz still post wall nigga holla back grey goose 'yak blunt filled wit kush gettin jiggy wit smokin gaw'rge bush step two step two step gon n two step gon n two step gon n two step gon n two step get jiggy wit get jiggy wit get jiggy wit get jiggy wit gon n two step aye watch two step two step like two step watch get jiggy wit watch get jiggy wit watch get jiggy wit watch get jiggy wit gon n two step take two steeeeeeps left take two steeeeeeps right bring back bring back yeah made y'all walk ev'rybody two steppin finna turn go agaiiiin already slow two steppin get yer shit hit shootin ya toe like western see baby girl sweatin outcha lil perm call big wooooorm money 2 steppin wit stack bitch holla back o.c back y'all besta deal wit steppin shoe get jiggy wit two step two step gon n two step gon n two step gon n two step gon n two step get jiggy wit get jiggy wit get jiggy wit get jiggy wit gon n two step aye watch two step two step like two step watch get jiggy wit watch get jiggy wit watch get jiggy wit watch get jiggy wit gon n two step two step gon n two step two step gon n two step two step gon n two step two step gon n two step two step gon n two step two step gon n two step two step gon n two step two step gon n two step
79,"""Walk Away (Remember Me)""",Paula DeAnda featuring The D.E.Y.,https://genius.com/Paula-deanda-walk-away-remember-me-lyrics,intro d.e.y paula deanda gon na remember gon na remember gon remember gon remember gon na remember gon na remember yeah gon remember gon remember verse 1 divine divine paula deanda yeah gon remember boo gon remember ca forget crazy shit used much enough friend saying got man anyway ca explain neither never wan na leave ya hell yeah hard walk away see see remember day put shoe moved could say saw new girl yesterday feel must confess even though kill say admit impressed physically short perfection got ta commend selection though know concerned back mind ca help question long day take braid like play ps2 'til six morning like chorus paula deanda d.e.y. ca explain feeling yeah think every day even though moved uh-huh get hard walk away gon remember gon remember walk away forever live memory walk away walk away feel like live life day day hoping maybe come back though tell afraid move seems ca though new man given attention affection though know content back mind ca help question play bouquet say like used chorus paula deanda d.e.y. ca explain feeling ca explain yeah think every day even though moved moved uh-huh get hard walk away gon remember gon remember walk away forever live memory walk away walk away yeah yeah verse 4 d.e.y paula deanda gon na remember gon na remember thing way shared fantasy friend love family lose love seemed meant sometimes kiss wish kissing sometimes miss wish missing sometimes hug wish hugging realize much bugging miss bridge paula deanda d.e.y. hard express feeling 'cause nobody compare know never love like uh uh uh yeah chorus paula deanda d.e.y. ca explain feeling uh-uh think every day yeah even though moved yeah get hard walk away gon na remember gon na remember walk away walk away gon na remember gon na remember walk away ca explain feeling gon na remember gon na remember think every day forever live memory even though moved gon na remember gon na remember get hard walk away walk away forever live memory walk away gon na remember gon na remember walk away remember yeah
80,"""Go Getta""",Young Jeezy featuring R. Kelly,https://genius.com/Jeezy-go-getta-lyrics,young jeezy ct ya boy kells yeah 8732 nigga haha right keep clapping ya dj playing u turn let go get 'em jeezy ... oh oh oh know trap day play night life life go getta go getta go getta club see bad bitch point yeah ya damn right i'mma ya damn right i'mma go getta go getta go getta enemy state callin smith thing side call jada boy talking yeah call hater balling right get later first admit alcoholic blow good shit yeah wuchumacallit catch posted block somethin exotic 0-7 year color hypnotiq outside lookin want homie thing got ten took loss still tryin win tryin give back tryin spend know trap day play night life life go getta go getta go getta club see bad bitch point yeah ya damn right i'mma ya damn right i'mma go getta go getta go getta live life edge like tommorrow grind hard like today shit like yesterday game never stop next play odds place ya bet yeah getting started done yet risk lose ya life else say helluva price cause overstand time mistake overplan club like 4-5 i'mma stay thuggin till fed come get know trap day play night life life go getta go getta go getta club see bad bitch point yeah ya damn right i'mma ya damn right i'mma go getta go getta go getta hey hey play roll club high sittin twenty-tre hop like fabolous top model grabbin u love go getta america put chick like wallace turn 'em forward ca deny see wheel spinnin boy kells coupe miami white linen chip big spending walk club shitload woman soon see like i'mma get i'mma get oh i'mma get cause i'mma go getta know trap day play night life life go getta go getta go getta club see bad bitch point yeah ya damn right i'mma ya damn right i'mma go getta go getta go getta
81,"""Here (In Your Arms)""",Hellogoodbye,https://genius.com/Hellogoodbye-here-in-your-arms-lyrics,like drive car like 'cause lip touch cheek brush lip touch well one one lie close whisper hello missed quite terribly fell love love suddenly place else could arm like sleep sleep next like sleep lip touch cheek brush 'cause lip touch well one one lie close whisper hello missed quite terribly fell love love suddenly place else could arm lip touch lip touch well one one lie close whisper hello missed quite terribly fell love love suddenly place else could arm well one one lie close whisper hello missed quite missed quite fell love love suddenly place else could arm arm arm
82,"""On the Hotline""",Pretty Ricky,https://genius.com/Pretty-ricky-on-the-hotline-lyrics,ah yeah haha say pretty ricky ricky ricky haha uh pretty ricky ricky ricky haha oh pretty ricky ricky ricky haha oh pretty ricky ricky ricky haha uh pretty ricky ricky ricky haha oh chorus pleasure p baby blue five mornin havin phone sex hotline lustin let talk sex baby let talk let talk bubble tub let talk makin love let talk top goin let little phone sex baby hotline hotline sun call ya 'cause home alone lustin ya room nothin towel take granny panty put thong love hear ya moan got sexy tone make dick long complete 'nother city fanline nothin baby tee kinda girl sexy boxer short kinda nigga make ride like porsche yeah met myspace 'bout fly place mornin five mornin havin phone sex hotline lustin let talk sex baby let talk let talk bubble tub let talk makin love let talk top goin let little phone sex baby hotline 5:30 mornin horny lonely touchin rubbin call comin called seven time baby girl stall wan na kiss temple foot dimple cheek middle g-string conversation underneath sheet know red bull like energy i'ma freak baby girl said love phone sex say sound deep voice make wet call 5 a.m. dot thinkin 'bout panty top picture say comin thirty minute later parkin rover jumped car met door three second house ya panty floor kiss ya mouth lay ya hip cheek straight action carpet rug burn knee phone like damn made mess got hand pant man love phone sex five mornin havin phone sex hotline lustin let talk sex baby let talk let talk bubble tub let talk makin love let talk top goin let little phone sex baby hotline woah woah pretty ricky ricky ricky haha uh pretty ricky ricky ricky haha oh pretty ricky ricky ricky haha uh pretty ricky ricky ricky haha oh pretty ricky ricky ricky haha uh
83,"""Wind It Up""",Gwen Stefani,https://genius.com/Gwen-stefani-wind-it-up-lyrics,high hill lonely goatherd lay-od-lay-od-lay-he-hoo yodelled back girl goatherd lay-od-lay-od-low chorus gwen stefani pharrell williams wind wind wind yodellay yodallay yodel-low yeah verse 1 gwen stefani pharrell williams key make u wind beat come girl line boy look ca touch girl want know boy like u much like way dance like way work like way l.a.m.b going 'cross shirt like way pant compliment shape crazy right like way react every time hear the— every time bass bang realize call name let beat wind stop 'til time chorus gwen stefani pharrell williams wind wind c'mon wind yodelay yodelay yodal-low got let beat get skin got open let see get popping begin find boy stare see trying bite style trying study approach like way original guess slow leave room beat club car go every time bass bang realize call name let beat wind stop 'til time chorus gwen stefani pharrell williams wind whenever ready wind wind wind yodelay yodelay yodal-low bridge gwen stefani pharrell williams moment come girl know know key still tick-tocking know watching get girl get get girl get girl get get girl front side back let ride keep going girl night let steal light know think fine stuff know wind c'mon wind wind wind wind yodelay yodelay yodelay hey
84,"""Cyclone""",Baby Bash featuring T-Pain,https://genius.com/Baby-bash-cyclone-lyrics,intro mickael t-pain oh oh oh swa-na-na-na-na mighty cyclone move body like cyclone make wan na night long going hard turn spotlight move body like cyclone like cyclone move body like cyclone make wan na night long going hard turn spotlight move body like cyclone mighty cyclone look dumper back bumper even playing shaking rumpa oh know get lower muffler either girlfriend showstoppin hustler way move body might see maserati wan na put tryin show tsunami make hard copy always tight never sloppy got entourage paparazzo go ridin stormy weather better button wan na go get cause everybody wan na love pop boy better run cover move body like cyclone make wan na night long going hard turn spotlight move body like cyclone like cyclone move body like cyclone make wan na night long going hard turn spotlight move body like cyclone mighty cyclone rap breakin boy typhoon got ta get feta like bos tycoon hold steady cause make monsoon google download itunes see sayin playin bet got head turnin gon hear clack-clack heel get burnin stiletto fuego got label got u doin tornado move body like cyclone make wan na night long going hard turn spotlight move body like cyclone like cyclone move body like cyclone make wan na night long going hard turn spotlight move body like cyclone mighty cyclone shawty got look shawty got class shawty got hip shawty got as hit stage drop low like errr rerr rer rer rer rer rer rerr rerrr ay crazy amazing must one lady errr rerr rer rer rer rer rer rerr rerrr ahh move body like cyclone make wan na night long going hard turn spotlight move body like cyclone like cyclone move body like cyclone make wan na night long going hard turn spotlight move body like cyclone mighty cyclone errr rerr rer rer rer rer rer rerr rerrr errr rerr rer rer rer rer rer rerr rerrr errr rerr rer rer rer rer rer rerr rerrr ohh
85,"""Break It Off""",Rihanna featuring Sean Paul,https://genius.com/Rihanna-break-it-off-lyrics,breakin settin da real way makin da girl dem chill dey mind makin dem good time ya man spz yo long side riri come rihanna tek dem tek dem girl chorus rihanna sean paul break boy 'cause got feelin naughty wan na know boy could ya shawty definitely set boy make hot body break take miss take break tonight yo break boy 'cause got feelin naughty wan na know boy could ya shawty yo yo set boy yeah yeah make hot body break tonight yo yo verse 1 sean paul rihanna struggle pain feel want good man give style wild child dere pon file long time wha plow sile plow de sile meh car run like nile energy whan give tonight give tonight gan make feel right make fly like kite reach new height ah give gyal dem make dem reel bawl make dem start call time want back ha fi call dutty paul admitting spot know real sean paul trait great 'cause feelin top tall wat de ting say chorus rihanna sean paul break boy immediate number four 'cause got feelin naughty wan na know boy could ya shawty pumba set boy make hot body break take miss take break tonight yo break boy 'cause got feelin naughty wan na know boy could ya shawty yo yo set boy yeah yeah make hot body yo yo break tonight riri spz yo yo doubt gyal shoulda know sp scout naughty sweat shout make ya bawl shout make ya holla gah give affection direction go gyal follow ya love energy ya wan pedigree cruise like penelope make ah see bounce wit dutty lee keep givin de q de u yeah de l de de de girl got try take ya booty make reach s-k-y woman got say da way move makin hype girl 'cause know say e x chorus rihanna sean paul break boy 'cause got feelin naughty wan na know boy could ya shawty sexiness set boy make hot body yo yo yo yo doubt break tonight yo riri break boy 'cause got feelin naughty wan na know boy could ya shawty set boy make hot body break tonight yeah yo yo bridge rihanna sean paul boy uh-huh way push whan get da roughest wine dun know ya like ayy yo fuh sho gon na break tonight yoga-machuga uh oh boy really waste time sing come let back ya dancehall style bring hopin baby mind 'cause really wan na break tonight instantaneous chorus rihanna sean paul break boy 'cause got feelin naughty ayy wan na know boy could ya shawty set boy make hot body baby girl yo baby girl yo break tonight give give sing break boy 'cause got feelin naughty yo wan na know boy could ya shawty set boy make hot body
86,"""First Time""",Lifehouse,https://genius.com/Lifehouse-first-time-lyrics,looking something afraid find easier broken easier hide looking holding breath life scared death taking chance letting inside feeling alive deep sky skin like love say first time well maybe wrong feeling right wherever belong tonight like love feel first time world see inside waiting come life waking dreaming reality eye looking holding breath life scared death taking chance letting inside feeling alive deep sky skin like love say first time well maybe wrong feeling right wherever belong tonight like love feel first time crashing unknown lost feel like home feeling alive deep sky skin like love say first time well maybe wrong feeling right wherever belong tonight like love feel first time like love say first time like love feel first time
87,"""Ayo Technology""",50 Cent featuring Justin Timberlake and Timbaland,https://genius.com/50-cent-ayo-technology-lyrics,somethin special unforgettable 50 cent justin timbaland goddamn damn want wan na give know right wan na see break ballin throwing money 'round working girl work pole break take low fine hell 'bout dough thing floor money-money make make look way shake shake make wan na touch make wan na taste lusting going crazy face stop get get way shake make wan na hit think double-jointed way split got head fucked way much used know move seduce gon right thing touch right spot dance lap 'til ready pop bridge 50 cent justin timberlake justin timberlake always ready want want like nympho info show meet late night 'til daylight club jumping want good time gon give want let talk baby new-age like new craze let get together maybe start new phase smoke got club hazy spotlight justice baby come got saying ayo tired using technology sit top ayo tired using technology need right front ooh want ugh ugh want ooh want got ta give ooh want ugh ugh want ooh want got ta give hip thigh got hypnotized let tell hip thigh got hypnotized let tell hip thigh got hypnotized let tell hip thigh got hypnotized let tell girl got thing thing got way make tick way make pop make rain stop got move sit watch fantasy plain see backstroking sweat soaking satin sheet ready ride ready roll bitch 'til club close watching thing four that—that 'gainst law bridge 50 cent 50 cent justin timberlake justin timberlake side side left right break know like hype throw around different style different mood damn like way move girl got thinking 'bout thing let get poppin shawty could switch position couch counter kitchen let talk baby new-age like new craze let get together maybe start new phase smoke got club hazy spotlight justice baby come got saying ayo tired using technology sit top ayo tired using technology need right front ooh want ugh ugh want ooh want got ta give ooh want ugh ugh want ooh want got ta give hip thigh got hypnotized let tell hip thigh got hypnotized let tell hip thigh got hypnotized let tell hip thigh got hypnotized let tell girl
88,"""Outta My System""",Bow Wow featuring T-Pain and Johntá Austin,https://genius.com/Bow-wow-outta-my-system-lyrics,oooooh damn mean keep thinkin mean wan na move ca move like got kind hold know go ahead talk listen sitting looking window like damn trying fix situation hand still running mind knowing ya mind knowing could cause called even appalled still got lot pain dealt running 'round chick single loving liking want one love end trying let go ca get grip trying let know got ta hold kinda control know got ta get gone working getting better trying like yeah forget whatever instead staring glass looking bad weather damn got ta pull together cause ... somebody think 'bout alone wan na miss smiley face sidekick town visit time spent together make hard get outta system know even understand damn know hard get outta system attached heart wo let fall back got bad call see street worse use love little thing work major see pager know see later fella telling let go bow believe trying man know top spot leaving hot shot knowing want cause top spot popping brain stopping thinking going club hopping never kinda problem life first time dealing kind fight every night every flight every time sight damn even right .... cause somebody think 'bout alone wan na miss smiley face sidekick town visit time spent together make hard get outta system know even understand damn know hard get outta system wrong feel way running mind day feel trying get mind ca time kill wrong feel way running mind day feel trying get mind ca time kill somebody think 'bout alone wan na miss smiley face sidekick town visit time spent together make hard get outta system know even understand damn know hard get outta system remember everything talked whole life planned together could would turn back hand time correct mistake ever guess got ta move right still hard still love day ... peace
89,"""Teardrops on My Guitar""",Taylor Swift,https://genius.com/Taylor-swift-teardrops-on-my-guitar-lyrics,drew look fake smile wo see want needing everything bet beautiful girl talk got everything live without drew talk laugh 'cause funny ca even see anyone say love finally got right wonder know think night reason teardrop guitar thing keep wishin wishing star song car keep singing know drew walk tell ca breathe go perfectly kind flawless wish could better hold tight give love look beautiful eye know lucky 'cause reason teardrop guitar thing keep wishin wishing star song car keep singing know drive home alone turn light put picture maybe get sleep tonight 'cause reason teardrop guitar one got enough break heart song car keep singing know time taken never enough need fall drew look fake smile wo see
90,"""Shut Up and Drive""",Rihanna,https://genius.com/Rihanna-shut-up-and-drive-lyrics,lookin driver qualified think one step ride fine-tuned supersonic speed machine sunroof top gangsta lean feel let know know know come waitin engine ready explode explode explode start watch go go go go get wan na go know mean got ride smoother limousine handle curve run light baby boy go night 'cause zero sixty three point five baby got key shut drive shut drive got class like '57 cadillac got overdrive whole lot boom back look like handle hood keep sayin boy wish would feel let know know know come waitin engine ready explode explode explode start watch go go go go get wan na go know mean got ride smoother limousine handle curve run light baby boy go night 'cause zero sixty three point five baby got key shut drive shut drive 'cause maybach got got stop sure shot ferrari huh boy sorry even worried step inside ride feel let know know know come waitin engine ready explode explode explode start watch go go go go get wan na go know mean got ride smoother limousine handle curve run light baby boy go night 'cause zero sixty three point five baby got key shut drive shut drive shut drive shut drive
91,"""Snow (Hey Oh)""",Red Hot Chili Peppers,https://genius.com/Red-hot-chili-peppers-snow-hey-oh-lyrics,come decide thing tried life get high sit alone come get little known need time step road sea sky believe rely lay come get play life sacrifice hey oh listen say oh-oh got hey oh listen say oh-oh know really ca go well time decide killin really see need look inside come believe better leave get chance ride killin really need need look inside hey oh listen say oh-oh come back hey oh look say oh-oh pre-chorus anthony kiedis john frusciante see less know like let go hey oh wo-oh-oh-oh-wo chorus anthony kiedis john frusciante deep beneath cover another perfect wonder white snow privately divided world undecided nowhere go cover another perfect wonder white snow runnin field track concealed go ho went descend amend friend channel broken bring gon na ring hear sing step road sea sky believe rely lay come get play life sacrifice hey oh listen say oh-oh got hey oh listen say oh-oh pre-chorus anthony kiedis john frusciante see less know like let go hey oh wo-oh-oh-oh-wo chorus anthony kiedis john frusciante deep beneath cover another perfect wonder white snow privately divided world undecided nowhere go cover another perfect wonder white snow runnin field track concealed go post-chorus anthony kiedis john frusciante said hey hey yeah ah yeah tell love hey hey yeah ah yeah tell love chorus anthony kiedis john frusciante deep beneath cover another perfect wonder white snow privately divided world undecided nowhere go deep beneath cover another perfect wonder white snow runnin field track concealed go post-chorus anthony kiedis john frusciante said hey ah yeah ah yeah tell love hey ye-yeah oh yeah
92,"""Money Maker""",Ludacris featuring Pharrell,https://genius.com/Ludacris-money-maker-lyrics,hook pharrell williams ludacris shake money maker like somebody bout pay ya see radar act like afraid shit know got wan na come get stand next money like ey ey ey shake money maker like somebody bout pay ya worry hater keep nose air know got wan na come get stand next money like ey ey ey shake shake shake money maker like shaking paper took momma 9 month make ya might well shake momma gave ya lookin good jean bet look even better keep mind money money mind hell distraction shake behind got j.o right side pourin cup whole hood left givin fuck feel free get loose get carried away tomorrow forgot saying today forget feeling making get calorie burn making sweat mile-high point earn taking jet everywhere turn making wet cause hook pharrell williams ludacris shake money maker like somebody bout pay ya see radar act like afraid shit know got wan na come get stand next money like ey ey ey shake money maker like somebody bout pay ya worry hater keep nose air know got wan na come get stand next money like ey ey ey switch switch switch right left switch till running right breath take break ready invite many friend want really want thankful pharrell gave something bump hey luda top game want hand bottom top frame wan na take little ride curve get erotic giving body deserves let give swimming lesson penis backstroke breaststroke stroke genius yepp call renaissance man get stay harder cinderblock man hey bedroom gangster meaning tell really must thank ya hook pharrell williams ludacris shake money maker like somebody bout pay ya see radar act like afraid shit know got wan na come get stand next money like ey ey ey shake money maker like somebody bout pay ya worry hater keep nose air know got wan na come get stand next money like ey ey ey release therapy rock rock rock rock release therapy rock rock rock rock rock rock rock make work girl please stop hurt girl looking little tipsy could shake little way see member bbc original breadwinner dtp center attention distracting squad cause everybody campus like oh god hook pharrell williams ludacris shake money maker like somebody bout pay ya see radar act like afraid shit know got wan na come get stand next money like ey ey ey shake money maker like somebody bout pay ya worry hater keep nose air know got wan na come get stand next money like ey ey ey
